cardname,cardq,cardrarity,card_edition,cardset,cardcode,cardid,print_id
Predaplant Spinodionaea,1,Super Rare,1st Edition,Power of the Primordial,PP-EN103,52792430,52792430
"Scarm, Malebranche of the Burning Abyss",1,Super Rare,1st Edition,Power of the Primordial,PP-EN104,84764038,84764038
Shiranui Squire,1,Super Rare,1st Edition,Power of the Primordial,PP-EN105,41562624,41562624
Souleating Oviraptor,1,Super Rare,1st Edition,Power of the Primordial,PP-EN106,44335251,44335251
Staysailor Romarin,1,Super Rare,1st Edition,Power of the Primordial,PP-EN107,49964567,49964567
Swordsman of Revealing Light,1,Super Rare,1st Edition,Power of the Primordial,PP-EN108,64605089,64605089
Zalamander Catalyzer,1,Super Rare,1st Edition,Power of the Primordial,PP-EN109,40460013,40460013
Ayers Rock Sunrise,1,Super Rare,1st Edition,Power of the Primordial,PP-EN110,42502956,42502956
Bonfire,1,Super Rare,1st Edition,Power of the Primordial,PP-EN111,85106525,85106525
Double Evolution Pill,1,Super Rare,1st Edition,Power of the Primordial,PP-EN112,38179121,38179121
Final Bringer of the End Times,1,Super Rare,1st Edition,Power of the Primordial,PP-EN113,54261514,54261514
Fire Recovery,1,Super Rare,1st Edition,Power of the Primordial,PP-EN114,42516299,42516299
Stairway to a Fabled Realm,1,Super Rare,1st Edition,Power of the Primordial,PP-EN115,22555834,22555834
The Monarchs Stormforth,1,Super Rare,1st Edition,Power of the Primordial,PP-EN116,79844764,79844764
Graceful Revival,1,Super Rare,1st Edition,Power of the Primordial,PP-EN117,98273947,98273947
Paleozoic Leanchoilia,1,Super Rare,1st Edition,Power of the Primordial,PP-EN118,1154611,1154611
Paleozoic Olenoides,1,Super Rare,1st Edition,Power of the Primordial,PP-EN119,35035481,35035481
Terrifying Trap Hole Nightmare,1,Super Rare,1st Edition,Power of the Primordial,PP-EN120,75294187,75294187
Stardust Assault Warrior,1,Super Rare,1st Edition,Power of the Primordial,PP-EN121,97792247,97792247
"Vahram, the Magistus Divinity Dragon",1,Super Rare,1st Edition,Power of the Primordial,PP-EN122,61272280,61272280
D.D. Crow,1,Ultra Rare,1st Edition,Power of the Primordial,PP-EN123,24508238,24508238
Effect Veiler,1,Ultra Rare,1st Edition,Power of the Primordial,PP-EN124,97268402,97268402
Eucalyptus Mole,1,Ultra Rare,1st Edition,Power of the Primordial,PP-EN125,71228611,71228611
Giant Rex,1,Ultra Rare,1st Edition,Power of the Primordial,PP-EN126,80280944,80280944
Mathematician,1,Ultra Rare,1st Edition,Power of the Primordial,PP-EN127,41386308,41386308
Performage Trick Clown,1,Ultra Rare,1st Edition,Power of the Primordial,PP-EN128,67696066,67696066
Terrifying Toddler of Torment,1,Ultra Rare,1st Edition,Power of the Primordial,PP-EN129,48468330,48468330
"Zoroa, the Magistus of Flame",1,Ultra Rare,1st Edition,Power of the Primordial,PP-EN130,36099130,36099130
Fiendsmith's Tract,1,Ultra Rare,1st Edition,Power of the Primordial,PP-EN131,98567237,98567237
Fossil Dig,1,Ultra Rare,1st Edition,Power of the Primordial,PP-EN132,47325505,47325505
Zombie Reborn,1,Ultra Rare,1st Edition,Power of the Primordial,PP-EN133,19942835,19942835
Memory of an Adversary,1,Ultra Rare,1st Edition,Power of the Primordial,PP-EN134,60080151,60080151
Infernoble Knight Captain Roland,1,Ultra Rare,1st Edition,Power of the Primordial,PP-EN135,40251688,40251688
Tri-Edge Master,1,Ultra Rare,1st Edition,Power of the Primordial,PP-EN136,52445243,52445243
Fabled Marcosia,1,Secret Rare,1st Edition,Power of the Primordial,PP-EN137,57630503,57630503
Miscellaneousaurus,1,Secret Rare,1st Edition,Power of the Primordial,PP-EN138,38572779,38572779
Pot of Prosperity,1,Secret Rare,1st Edition,Power of the Primordial,PP-EN139,84211599,84211599
Red Wyvern,1,Secret Rare,1st Edition,Power of the Primordial,PP-EN140,76547525,76547525
A-Assault Core,1,Common,1st Edition,Cyberstorm Crisis,CC-EN001,30012506,30012506
Achichi @Ignister,1,Common,1st Edition,Cyberstorm Crisis,CC-En002,15808381,15808381
Alien Ammonite,1,Common,1st Edition,Cyberstorm Crisis,CC-EN003,652362,652362
Alien Overlord,1,Common,1st Edition,Cyberstorm Crisis,CC-EN004,63253763,63253763
Ancient Gear Beast,1,Common,1st Edition,Cyberstorm Crisis,CC-EN005,10509340,10509340
Antialian,1,Common,1st Edition,Cyberstorm Crisis,CC-EN006,43583400,43583400
Backup Secretary,1,Common,1st Edition,Cyberstorm Crisis,CC-EN007,63528891,63528891
Balancer Lord,1,Common,1st Edition,Cyberstorm Crisis,CC-EN008,8567955,8567955
"Caam, Serenity of Gusto",1,Common,1st Edition,Cyberstorm Crisis,CC-EN009,91449144,91449144
Chaos Valkyria,1,Common,1st Edition,Cyberstorm Crisis,CC-EN010,53871273,53871273
Cliant,1,Common,1st Edition,Cyberstorm Crisis,CC-EN011,45778242,45778242
Core of Chaos,1,Common,1st Edition,Cyberstorm Crisis,CC-EN012,3806388,3806388
Cyber Eltanin,1,Common,1st Edition,Cyberstorm Crisis,CC-EN013,33093439,33093439
Cyberse Wizard,1,Common,1st Edition,Cyberstorm Crisis,CC-EN014,36033786,36033786
D.D. Sprite,1,Common,1st Edition,Cyberstorm Crisis,CC-EN015,16638212,16638212
Dimensional Alchemist,1,Common,1st Edition,Cyberstorm Crisis,CC-EN016,36733451,36733451
Dimensional Allotrope Varis,1,Common,1st Edition,Cyberstorm Crisis,CC-EN017,52254878,52254878
Dotscaper,1,Common,1st Edition,Cyberstorm Crisis,CC-EN018,18789533,18789533
Doyon @Ignister,1,Common,1st Edition,Cyberstorm Crisis,CC-EN019,88413677,88413677
Dual Assembwurm,1,Common,1st Edition,Cyberstorm Crisis,CC-EN020,7445307,7445307
Electromagnetic Turtle,1,Common,1st Edition,Cyberstorm Crisis,CC-EN021,34710660,34710660
Esper Girl,1,Common,1st Edition,Cyberstorm Crisis,CC-EN022,99070951,99070951
Fluffal Leo,1,Common,1st Edition,Cyberstorm Crisis,CC-EN023,66457138,66457138
G Golem Pebble Dog,1,Common,1st Edition,Cyberstorm Crisis,CC-EN024,25273572,25273572
Gusto Thunbolt,1,Common,1st Edition,Cyberstorm Crisis,CC-EN025,28066831,28066831
Jigabyte,1,Common,1st Edition,Cyberstorm Crisis,CC-EN026,40894584,40894584
Kozmo Goodwitch,1,Common,1st Edition,Cyberstorm Crisis,CC-EN027,67050396,67050396
Krebons,1,Common,1st Edition,Cyberstorm Crisis,CC-EN028,59575539,59575539
Launcher Commander,1,Common,1st Edition,Cyberstorm Crisis,CC-EN029,35911108,35911108
Mathmech Nabla,1,Common,1st Edition,Cyberstorm Crisis,CC-EN030,53577438,53577438
Mental Tuner,1,Common,1st Edition,Cyberstorm Crisis,CC-EN031,30291086,30291086
Minimalian,1,Common,1st Edition,Cyberstorm Crisis,CC-EN032,21147203,21147203
"Pilica, Descendant of Gusto",1,Common,1st Edition,Cyberstorm Crisis,CC-EN033,71175527,71175527
Psychic Commander,1,Common,1st Edition,Cyberstorm Crisis,CC-EN034,21454943,21454943
Rebuildeer,1,Common,1st Edition,Cyberstorm Crisis,CC-EN035,4550066,4550066
Reinforced Human Psychic Borg,1,Common,1st Edition,Cyberstorm Crisis,CC-EN036,80102359,80102359
Rescue Interlacer,1,Common,1st Edition,Cyberstorm Crisis,CC-EN037,63009228,63009228
Ritual Beast Tamer Wen,1,Common,1st Edition,Cyberstorm Crisis,CC-EN038,40907115,40907115
Silent Angler,1,Common,1st Edition,Cyberstorm Crisis,CC-EN039,90303176,90303176
Spiritual Beast Tamer Winda,1,Common,1st Edition,Cyberstorm Crisis,CC-EN040,65193366,65193366
The Agent of Miracles - Jupiter,1,Common,1st Edition,Cyberstorm Crisis,CC-EN041,28573958,28573958
Threshold Borg,1,Common,1st Edition,Cyberstorm Crisis,CC-EN042,31944175,31944175
Time Thief Adjuster,1,Common,1st Edition,Cyberstorm Crisis,CC-EN043,64730881,64730881
Torque Tune Gear,1,Common,1st Edition,Cyberstorm Crisis,CC-EN044,79538761,79538761
Labradorite Dragon,1,Common,1st Edition,Cyberstorm Crisis,CC-EN045,62514770,62514770
Leotron,1,Common,1st Edition,Cyberstorm Crisis,CC-EN046,47226949,47226949
Cynet Crosswipe,1,Common,1st Edition,Cyberstorm Crisis,CC-EN047,77449773,77449773
Cynet Mining,1,Common,1st Edition,Cyberstorm Crisis,CC-EN048,57160136,57160136
D.D.R. - Different Dimension Reincarnation,1,Common,1st Edition,Cyberstorm Crisis,CC-EN049,9622164,9622164
Elegant Egotist,1,Common,1st Edition,Cyberstorm Crisis,CC-EN050,90219263,90219263
Foolish Return,1,Common,1st Edition,Cyberstorm Crisis,CC-EN051,88369727,88369727
Harpies' Hunting Ground,1,Common,1st Edition,Cyberstorm Crisis,CC-EN052,75782277,75782277
One-Time Passcode,1,Common,1st Edition,Cyberstorm Crisis,CC-EN053,93104632,93104632
Psychic Eraser Laser,1,Common,1st Edition,Cyberstorm Crisis,CC-EN054,9322133,9322133
Small World,1,Common,1st Edition,Cyberstorm Crisis,CC-EN055,89558743,89558743
Transmodify,1,Common,1st Edition,Cyberstorm Crisis,CC-EN056,5288597,5288597
D.D.D. - Different Dimension Derby,1,Common,1st Edition,Cyberstorm Crisis,CC-EN057,76552147,76552147
Mathmech Induction,1,Common,1st Edition,Cyberstorm Crisis,CC-EN058,14393464,14393464
Psychic Overload,1,Common,1st Edition,Cyberstorm Crisis,CC-EN059,82633308,82633308
Ultimate Providence,1,Common,1st Edition,Cyberstorm Crisis,CC-EN060,38891741,38891741
Hyper Psychic Blaster,1,Common,1st Edition,Cyberstorm Crisis,CC-EN061,95526884,95526884
Magical Android,1,Common,1st Edition,Cyberstorm Crisis,CC-EN062,43385557,43385557
Mecha Phantom Beast Concoruda,1,Common,1st Edition,Cyberstorm Crisis,CC-EN063,53451824,53451824
Psychic Lifetrancer,1,Common,1st Edition,Cyberstorm Crisis,CC-EN064,45379225,45379225
Psychic Nightmare,1,Common,1st Edition,Cyberstorm Crisis,CC-EN065,7582066,7582066
Synchro Transmission,1,Common,1st Edition,Cyberstorm Crisis,CC-EN066,35817848,35817848
Ancient Gear Tanker,1,Rare,1st Edition,Cyberstorm Crisis,CC-EN067,91098230,91098230
Ancient Gear Wyvern,1,Rare,1st Edition,Cyberstorm Crisis,CC-EN068,17663375,17663375
B-Buster Drake,1,Rare,1st Edition,Cyberstorm Crisis,CC-EN069,77411244,77411244
Cheepcheepcheep,1,Rare,1st Edition,Cyberstorm Crisis,CC-EN070,27189308,27189308
Debris Dragon,1,Rare,1st Edition,Cyberstorm Crisis,CC-EN071,14943837,14943837
Double Fin Shark,1,Rare,1st Edition,Cyberstorm Crisis,CC-EN072,64319467,64319467
Draconnet,1,Rare,1st Edition,Cyberstorm Crisis,CC-EN073,62706865,62706865
Genetic Woman,1,Rare,1st Edition,Cyberstorm Crisis,CC-EN074,98147766,98147766
Gold Pride - Eliminator,1,Rare,1st Edition,Cyberstorm Crisis,CC-EN075,60203670,60203670
Harpie Perfumer,1,Rare,1st Edition,Cyberstorm Crisis,CC-EN076,39392286,39392286
Lappis Dragon,1,Rare,1st Edition,Cyberstorm Crisis,CC-EN077,3111207,3111207
Mecha Phantom Beast Tetherwolf,1,Rare,1st Edition,Cyberstorm Crisis,CC-EN078,67922702,67922702
Nemeses Umbrella,1,Rare,1st Edition,Cyberstorm Crisis,CC-EN079,46606977,46606977
Psychic Tracker,1,Rare,1st Edition,Cyberstorm Crisis,CC-EN080,30227494,30227494
Spiritual Beast Cannahawk,1,Rare,1st Edition,Cyberstorm Crisis,CC-EN081,49885567,49885567
Spiritual Beast Tamer Lara,1,Rare,1st Edition,Cyberstorm Crisis,CC-EN082,23623653,23623653
The Agent of Mystery - Earth,1,Rare,1st Edition,Cyberstorm Crisis,CC-EN083,91188343,91188343
Witch of the Black Forest,1,Rare,1st Edition,Cyberstorm Crisis,CC-EN084,78010363,78010363
"""A"" Cell Recombination Device",1,Rare,1st Edition,Cyberstorm Crisis,CC-EN085,91231901,91231901
A.I.dle Reborn,1,Rare,1st Edition,Cyberstorm Crisis,CC-EN086,22933016,22933016
Cyber Repair Plant,1,Rare,1st Edition,Cyberstorm Crisis,CC-EN087,86686671,86686671
Hysteric Sign,1,Rare,1st Edition,Cyberstorm Crisis,CC-EN088,19337371,19337371
Pot of Dichotomy,1,Rare,1st Edition,Cyberstorm Crisis,CC-EN089,98672567,98672567
Reptilianne Ramifications,1,Rare,1st Edition,Cyberstorm Crisis,CC-EN090,81615450,81615450
Tailwind of Gusto,1,Rare,1st Edition,Cyberstorm Crisis,CC-EN091,1187243,1187243
Horn of Heaven,1,Rare,1st Edition,Cyberstorm Crisis,CC-EN092,98069388,98069388
Time Thief Power Reserve,1,Rare,1st Edition,Cyberstorm Crisis,CC-EN093,42620460,42620460
Time-Space Trap Hole,1,Rare,1st Edition,Cyberstorm Crisis,CC-EN094,2055403,2055403
P.U.N.K. JAM Dragon Drive,1,Rare,1st Edition,Cyberstorm Crisis,CC-EN095,28403802,28403802
Thought Ruler Archfiend,1,Rare,1st Edition,Cyberstorm Crisis,CC-EN096,70780151,70780151
Armored Bitron,1,Super Rare,1st Edition,Cyberstorm Crisis,CC-EN097,29374928,29374928
Backup @Ignister,1,Super Rare,1st Edition,Cyberstorm Crisis,CC-EN098,30118811,30118811
Batteryman Industrial Strength,1,Super Rare,1st Edition,Cyberstorm Crisis,CC-EN099,19441018,19441018
Cardcar D,1,Super Rare,1st Edition,Cyberstorm Crisis,CC-EN100,45812361,45812361
Cockadoodledoo,1,Super Rare,1st Edition,Cyberstorm Crisis,CC-EN101,42338879,42338879
Cyber Dragon Core,1,Super Rare,1st Edition,Cyberstorm Crisis,CC-EN102,23893227,23893227
Lady Debug,1,Super Rare,1st Edition,Cyberstorm Crisis,CC-EN103,16188701,16188701
Lightpulsar Dragon,1,Super Rare,1st Edition,Cyberstorm Crisis,CC-EN104,99365553,99365553
"Nunu, the Ogdoadic Remnant",1,Super Rare,1st Edition,Cyberstorm Crisis,CC-EN105,36010310,36010310
Protecting Spirit Loagaeth,1,Super Rare,1st Edition,Cyberstorm Crisis,CC-EN106,84339249,84339249
RAM Clouder,1,Super Rare,1st Edition,Cyberstorm Crisis,CC-EN107,9190563,9190563
Serene Psychic Witch,1,Super Rare,1st Edition,Cyberstorm Crisis,CC-EN108,98358303,98358303
Silent Psychic Wizard,1,Super Rare,1st Edition,Cyberstorm Crisis,CC-EN109,62950604,62950604
Stardust Synchron,1,Super Rare,1st Edition,Cyberstorm Crisis,CC-EN110,37799519,37799519
Swordsman of Revealing Light,1,Super Rare,1st Edition,Cyberstorm Crisis,CC-EN111,64605089,64605089
T.G. Screw Serpent,1,Super Rare,1st Edition,Cyberstorm Crisis,CC-EN112,11234702,11234702
Tearlaments Scheiren,1,Super Rare,1st Edition,Cyberstorm Crisis,CC-EN113,572850,572850
Thunder Sea Horse,1,Super Rare,1st Edition,Cyberstorm Crisis,CC-EN114,48049769,48049769
Time Thief Winder,1,Super Rare,1st Edition,Cyberstorm Crisis,CC-EN115,56308388,56308388
Emergency Teleport,1,Super Rare,1st Edition,Cyberstorm Crisis,CC-EN116,67723438,67723438
Graceful Revival,1,Super Rare,1st Edition,Cyberstorm Crisis,CC-EN117,98273947,98273947
Solemn Scolding,1,Super Rare,1st Edition,Cyberstorm Crisis,CC-EN118,92512625,92512625
Sonic Stun,1,Super Rare,1st Edition,Cyberstorm Crisis,CC-EN119,93138457,93138457
Terrifying Trap Hole Nightmare,1,Super Rare,1st Edition,Cyberstorm Crisis,CC-EN120,75294187,75294187
Geomathmech Magma,1,Super Rare,1st Edition,Cyberstorm Crisis,CC-EN121,15248594,15248594
PSY-Framelord Zeta,1,Super Rare,1st Edition,Cyberstorm Crisis,CC-EN122,37192109,37192109
D.D. Crow,1,Ultra Rare,1st Edition,Cyberstorm Crisis,CC-EN123,24508238,24508238
Effect Veiler,1,Ultra Rare,1st Edition,Cyberstorm Crisis,CC-EN124,97268402,97268402
Harpie's Pet Dragon - Fearsome Fire Blast,1,Ultra Rare,1st Edition,Cyberstorm Crisis,CC-EN125,4991081,4991081
Mathematician,1,Ultra Rare,1st Edition,Cyberstorm Crisis,CC-EN126,41386308,41386308
Pikari @Ignister,1,Ultra Rare,1st Edition,Cyberstorm Crisis,CC-EN127,16020923,16020923
Prototype Psychic Blaster,1,Ultra Rare,1st Edition,Cyberstorm Crisis,CC-EN128,95091919,95091919
Ragnaraika Armored Lizard,1,Ultra Rare,1st Edition,Cyberstorm Crisis,CC-EN129,52543404,52543404
Serene Psychic Girl,1,Ultra Rare,1st Edition,Cyberstorm Crisis,CC-EN130,9213491,9213491
Tenyi Spirit - Adhara,1,Ultra Rare,1st Edition,Cyberstorm Crisis,CC-EN131,98159737,98159737
A.I. Connect,1,Ultra Rare,1st Edition,Cyberstorm Crisis,CC-EN132,79015062,79015062
White Mirror,1,Ultra Rare,1st Edition,Cyberstorm Crisis,CC-EN133,19885332,19885332
Warning Point,1,Ultra Rare,1st Edition,Cyberstorm Crisis,CC-EN134,11429811,11429811
Firewall Saber Dragon,1,Ultra Rare,1st Edition,Cyberstorm Crisis,CC-EN135,16926971,16926971
"Juraishin, the Cursed Thunder God",1,Ultra Rare,1st Edition,Cyberstorm Crisis,CC-EN136,78693036,78693036
ROM Cloudia,1,Secret Rare,1st Edition,Cyberstorm Crisis,CC-EN137,44956694,44956694
Pot of Prosperity,1,Secret Rare,1st Edition,Cyberstorm Crisis,CC-EN138,84211599,84211599
Silent Psychic Magician,1,Secret Rare,1st Edition,Cyberstorm Crisis,CC-EN139,16246535,16246535
Wind Pegasus @Ignister,1,Secret Rare,1st Edition,Cyberstorm Crisis,CC-EN140,98506199,98506199
