cardname,cardq,cardrarity,card_edition,cardset,cardcode,cardid,print_id
D.D. Assailant,1,Rare,1st Edition,Blazing Genesis,BP02-EN028,70074904,70074904
Dandylion,1,Rare,1st Edition,Blazing Genesis,ABPF-ENSE1,15341821,15341821
Giant Rat,1,Rare,1st Edition,Blazing Genesis,DB1-EN045,97017120,97017120
Glow-Up Bloom,1,Rare,1st Edition,Blazing Genesis,GFP2-EN115,92964816,92964816
"Kalantosa, Mystical Beast of the Forest",1,Rare,1st Edition,Blazing Genesis,BLAR-EN067,97317530,97317530
King of the Beasts,1,Rare,1st Edition,Blazing Genesis,RGBT-EN086,67757079,67757079
Mystic Tomato,1,Rare,1st Edition,Blazing Genesis,DB1-EN057,83011277,83011277
Pyramid Turtle,1,Rare,1st Edition,Blazing Genesis,CP02-EN004,77044671,77044671
Red Sparrow Summoner,1,Rare,1st Edition,Blazing Genesis,YS14-EN018,81354330,81354330
Sangan,1,Rare,1st Edition,Blazing Genesis,DB2-EN042,26202165,26202165
Shiranui Spiritmaster,1,Rare,1st Edition,Blazing Genesis,MP16-EN201,99423156,99423156
The Fabled Ganashia,1,Rare,1st Edition,Blazing Genesis,DT04-EN019,18282103,18282103
UFO Turtle,1,Rare,1st Edition,Blazing Genesis,DB1-EN047,60806437,60806437
World Carrotweight Champion,1,Rare,1st Edition,Blazing Genesis,MP17-EN050,44928016,44928016
Angel Trumpeter,1,Rare,1st Edition,Blazing Genesis,MP17-EN001,87979586,87979586
Arms Regeneration,1,Rare,1st Edition,Blazing Genesis,BLMR-EN032,32549749,32549749
My Body as a Shield,1,Rare,1st Edition,Blazing Genesis,CP01-EN015,69279219,69279219
Power Pickaxe,1,Rare,1st Edition,Blazing Genesis,ABPF-EN053,90246973,90246973
Salamandra Fusion,1,Rare,1st Edition,Blazing Genesis,MZMI-EN007,9102835,9102835
Smashing Ground,1,Rare,1st Edition,Blazing Genesis,YS15-END12,97169186,97169186
Chivalry,1,Rare,1st Edition,Blazing Genesis,DREV-EN079,56532632,56532632
Liberty at Last!,1,Rare,1st Edition,Blazing Genesis,STAS-EN035,72022087,72022087
Prideful Roar,1,Rare,1st Edition,Blazing Genesis,BP02-EN199,66518841,66518841
Raigeki Break,1,Rare,1st Edition,Blazing Genesis,DR1-EN044,4178474,4178474
"Celestial Wolf Lord, Blue Sirius",1,Rare,1st Edition,Blazing Genesis,MP14-EN183,32995007,32995007
Red Dragon Archfiend,1,Rare,1st Edition,Blazing Genesis,MP24-EN025,70902743,70902743
"Tengu, the Winged Mayakashi",1,Rare,1st Edition,Blazing Genesis,HISU-EN034,4103668,4103668
"Yoko, the Graceful Mayakashi",1,Rare,1st Edition,Blazing Genesis,HISU-EN035,3486020,3486020
Baby Raccoon Ponpoko,1,Super Rare,1st Edition,Blazing Genesis,MP14-EN136,92729410,92729410
Battlin' Boxer Headgeared,1,Super Rare,1st Edition,Blazing Genesis,MP14-EN002,79867938,79867938
Blue Flame Swordsman,1,Super Rare,1st Edition,Blazing Genesis,LC04-EN001,50903514,50903514
Cyclos the Circular Sprite,1,Super Rare,1st Edition,Blazing Genesis,MP25-EN349,21036656,21036656
Fairyant the Circular Sorcerer,1,Super Rare,1st Edition,Blazing Genesis,PHHY-EN025,53416326,53416326
Fencing Fire Ferret,1,Super Rare,1st Edition,Blazing Genesis,MP14-EN123,97396380,97396380
Fighting Flame Swordsman,1,Super Rare,1st Edition,Blazing Genesis,MP24-EN132,1047075,1047075
Flamvell Firedog,1,Super Rare,1st Edition,Blazing Genesis,ANPR-EN037,23297235,23297235
Goblin Zombie,1,Super Rare,1st Edition,Blazing Genesis,CRMS-ENSE2,63665875,63665875
Granmarg the Rock Monarch,1,Super Rare,1st Edition,Blazing Genesis,DR3-EN129,60229110,60229110
Peropero Cerperus,1,Super Rare,1st Edition,Blazing Genesis,PGL2-EN008,69764158,69764158
Plaguespreader Zombie,1,Super Rare,1st Edition,Blazing Genesis,BP02-EN071,33420078,33420078
Spore,1,Super Rare,1st Edition,Blazing Genesis,GENF-ENSE2,11747708,11747708
The Fabled Catsith,1,Super Rare,1st Edition,Blazing Genesis,DT04-EN017,56399890,56399890
Dark Hole,1,Super Rare,1st Edition,Blazing Genesis,YS15-ENY12,53129443,53129443
Gold Sarcophagus,1,Super Rare,1st Edition,Blazing Genesis,RA02-EN052,75500286,75500286
One for One,1,Super Rare,1st Edition,Blazing Genesis,AMDE-EN040,2295440,2295440
Seven Stars Slash - Army Annihilator Hagun,1,Super Rare,1st Edition,Blazing Genesis,ALIN-EN069,65114115,65114115
Soul Exchange,1,Super Rare,1st Edition,Blazing Genesis,KC01-EN042,68005187,68005187
The Warrior Returning Alive,1,Super Rare,1st Edition,Blazing Genesis,STAS-EN015,95281259,95281259
Unexpected Dai,1,Super Rare,1st Edition,Blazing Genesis,CROS-EN065,911883,911883
Ballista Squad,1,Super Rare,1st Edition,Blazing Genesis,MP19-EN132,80584548,80584548
Call of the Haunted,1,Super Rare,1st Edition,Blazing Genesis,YS15-END20,97077563,97077563
Mirror Force,1,Super Rare,1st Edition,Blazing Genesis,YS15-END16,44095762,44095762
Needle Ceiling,1,Super Rare,1st Edition,Blazing Genesis,STAX-EN026,38411870,38411870
Underworld Fighter Balmung,1,Super Rare,1st Edition,Blazing Genesis,AP06-EN009,52639377,52639377
Fabled Ragin,1,Super Rare,1st Edition,Blazing Genesis,DT03-EN088,47395382,47395382
Armored White Bear,1,Ultra Rare,1st Edition,Blazing Genesis,BLAR-EN016,17170970,17170970
Sublimation Knight,1,Ultra Rare,1st Edition,Blazing Genesis,TOCH-EN013,54485355,54485355
Sylvan Komushroomo,1,Ultra Rare,1st Edition,Blazing Genesis,MP14-EN197,99641328,99641328
The Fabled Abanc,1,Ultra Rare,1st Edition,Blazing Genesis,MP22-EN010,83039608,83039608
"Therion ""Bull"" Ain",1,Ultra Rare,1st Edition,Blazing Genesis,MP23-EN059,84332527,84332527
Thestalos the Firestorm Monarch,1,Ultra Rare,1st Edition,Blazing Genesis,DR3-EN081,26205777,26205777
Vendread Core,1,Ultra Rare,1st Edition,Blazing Genesis,EXFO-EN083,49394035,49394035
Zombie Master,1,Ultra Rare,1st Edition,Blazing Genesis,GLD5-EN019,17259470,17259470
Oil,1,Ultra Rare,1st Edition,Blazing Genesis,BLTR-EN026,74055055,74055055
Reinforcement of the Army,1,Ultra Rare,1st Edition,Blazing Genesis,RA01-EN051,32807846,32807846
Bottomless Trap Hole,1,Ultra Rare,1st Edition,Blazing Genesis,MP25-EN018,29401950,29401950
Colossal Fighter,1,Ultra Rare,1st Edition,Blazing Genesis,BATT-EN018,23693634,23693634
Stardust Charge Warrior,1,Ultra Rare,1st Edition,Blazing Genesis,MAGO-EN029,64880894,64880894
Black Rose Dragon,1,Ultra Rare,1st Edition,Blazing Genesis,TN23-EN014,73580471,73580471
Changshi the Spiridao,1,Secret Rare,1st Edition,Blazing Genesis,DIFO-EN096,76352503,76352503
Infernoble Knight Ricciardetto,1,Secret Rare,1st Edition,Blazing Genesis,MP24-EN211,53404966,53404966
"Valerifawn, Mystical Beast of the Forest",1,Secret Rare,1st Edition,Blazing Genesis,BLAR-EN068,24096499,24096499
Ally of Justice Catastor,1,Secret Rare,1st Edition,Blazing Genesis,CT10-EN006,26593852,26593852
Circle of the Fairies,1,Secret Rare,1st Edition,Blazing Genesis,MP24-EN319,12954226,12954226
Abyss Soldier,1,Common,1st Edition,Storm of the Abyss,CP02-EN007,18318842,18318842
Batteryman Solar,1,Common,1st Edition,Storm of the Abyss,FLOD-EN027,44586426,44586426
Cobra Jar,1,Common,1st Edition,Storm of the Abyss,DR1-EN023,86801871,86801871
Crystal Seer,1,Common,1st Edition,Storm of the Abyss,SGX1-ENF09,82099401,82099401
Cyber Shark,1,Common,1st Edition,Storm of the Abyss,AP01-EN016,32393580,32393580
Deep Sweeper,1,Common,1st Edition,Storm of the Abyss,ABYR-EN007,8649148,8649148
Diana the Light Spirit,1,Common,1st Edition,Storm of the Abyss,MP19-EN174,17257342,17257342
Electrode Beast Anion,1,Common,1st Edition,Storm of the Abyss,BLTR-EN033,58680635,58680635
Evilswarm Azzathoth,1,Common,1st Edition,Storm of the Abyss,DT07-EN074,42679662,42679662
Fishborg Archer,1,Common,1st Edition,Storm of the Abyss,MP14-EN122,62023839,62023839
Friller Rabca,1,Common,1st Edition,Storm of the Abyss,BP03-EN090,93830681,93830681
Frost and Flame Dragon,1,Common,1st Edition,Storm of the Abyss,DL15-EN005,55589254,55589254
Hieratic Dragon of Gebeb,1,Common,1st Edition,Storm of the Abyss,GAOV-EN019,78033100,78033100
Hieratic Dragon of Nuit,1,Common,1st Edition,Storm of the Abyss,GAOV-EN018,41639001,41639001
Ice Knight,1,Common,1st Edition,Storm of the Abyss,BROL-EN014,99328137,99328137
Ipiria,1,Common,1st Edition,Storm of the Abyss,BLHR-EN001,70744296,70744296
Lion Alligator,1,Common,1st Edition,Storm of the Abyss,BP03-EN089,4611269,4611269
Mahunder,1,Common,1st Edition,Storm of the Abyss,REDU-EN096,21524779,21524779
Mekanikal Arkfiend,1,Common,1st Edition,Storm of the Abyss,MP17-EN236,93715853,93715853
Metabo-Shark,1,Common,1st Edition,Storm of the Abyss,BP03-EN068,37792478,37792478
Muscle Medic,1,Common,1st Edition,Storm of the Abyss,MP18-EN130,4848423,4848423
Neo Kaiser Glider,1,Common,1st Edition,Storm of the Abyss,TN19-EN006,45885288,45885288
Nimble Sunfish,1,Common,1st Edition,Storm of the Abyss,TSHD-EN084,2843014,2843014
Oshaleon,1,Common,1st Edition,Storm of the Abyss,SOVR-EN036,71519605,71519605
Penguin Soldier,1,Common,1st Edition,Storm of the Abyss,STAX-EN023,93920745,93920745
Rage of the Deep Sea,1,Common,1st Edition,Storm of the Abyss,ABYR-EN091,73778008,73778008
Razor Lizard,1,Common,1st Edition,Storm of the Abyss,TAEV-EN036,18372968,18372968
Reptilianne Scylla,1,Common,1st Edition,Storm of the Abyss,SOVR-EN022,16909657,16909657
Reptilianne Vaskii,1,Common,1st Edition,Storm of the Abyss,ABPF-EN018,16886617,16886617
Thunder Dragon,1,Common,1st Edition,Storm of the Abyss,CP02-EN015,31786629,31786629
Vylon Prism,1,Common,1st Edition,Storm of the Abyss,BP02-EN108,74064212,74064212
Wattmole,1,Common,1st Edition,Storm of the Abyss,STOR-EN032,32548609,32548609
Wattpheasant,1,Common,1st Edition,Storm of the Abyss,DREV-EN026,81896771,81896771
Worm Apocalypse,1,Common,1st Edition,Storm of the Abyss,DT01-EN026,88650530,88650530
Yamorimori,1,Common,1st Edition,Storm of the Abyss,MP22-EN073,51474037,51474037
Yomi Ship,1,Common,1st Edition,Storm of the Abyss,DR1-EN019,51534754,51534754
Crowned by the World Chalice,1,Common,1st Edition,Storm of the Abyss,MP18-EN044,95511642,95511642
Flamvell Guard,1,Common,1st Edition,Storm of the Abyss,DT01-EN018,21615956,21615956
Terrorking Salmon,1,Common,1st Edition,Storm of the Abyss,DR2-EN061,78060096,78060096
Back to Square One,1,Common,1st Edition,Storm of the Abyss,DR3-EN104,47453433,47453433
Creature Swap,1,Common,1st Edition,Storm of the Abyss,BP03-EN144,31036355,31036355
Luminous Spark,1,Common,1st Edition,Storm of the Abyss,DB1-EN063,81777047,81777047
Mitsurugi Magatama,1,Common,1st Edition,Storm of the Abyss,ALIN-EN094,76725398,76725398
Moray of Greed,1,Common,1st Edition,Storm of the Abyss,AP01-EN010,22123627,22123627
Reptilianne Poison,1,Common,1st Edition,Storm of the Abyss,OP17-PT028,90576781,90576781
Reptilianne Rage,1,Common,1st Edition,Storm of the Abyss,ABPF-EN047,91580102,91580102
Scapegoat,1,Common,1st Edition,Storm of the Abyss,STAS-EN013,73915051,73915051
Shield & Sword,1,Common,1st Edition,Storm of the Abyss,BP02-EN130,52097679,52097679
Shrink,1,Common,1st Edition,Storm of the Abyss,KC01-EN048,55713623,55713623
Silent Doom,1,Common,1st Edition,Storm of the Abyss,KC01-EN043,42534368,42534368
Spirit Converter,1,Common,1st Edition,Storm of the Abyss,BLTR-EN099,20802187,20802187
Umiiruka,1,Common,1st Edition,Storm of the Abyss,DB1-EN060,82999629,82999629
Wattcube,1,Common,1st Edition,Storm of the Abyss,TSHD-EN054,65612454,65612454
Code Hack,1,Common,1st Edition,Storm of the Abyss,MZMI-EN039,33750856,33750856
Common Charity,1,Common,1st Edition,Storm of the Abyss,SS05-ENA29,40465719,40465719
Fairy Wind,1,Common,1st Edition,Storm of the Abyss,ANPR-EN066,73507661,73507661
Guardragon Corewakening,1,Common,1st Edition,Storm of the Abyss,MP20-EN031,11908584,11908584
Inverse Universe,1,Common,1st Edition,Storm of the Abyss,ABPF-EN080,79161790,79161790
Judgment of Thunder,1,Common,1st Edition,Storm of the Abyss,TDGS-EN077,85080048,85080048
Magic Drain,1,Common,1st Edition,Storm of the Abyss,BP01-EN090,59344077,59344077
Avenging Knight Parshath,1,Common,1st Edition,Storm of the Abyss,LC5D-EN230,69514125,69514125
Reptilianne Hydra,1,Common,1st Edition,Storm of the Abyss,OP16-EN020,60634565,60634565
Miniaturize,1,Common,1st Edition,Storm of the Abyss,BP02-EN195,34815282,34815282
Recall,1,Common,1st Edition,Storm of the Abyss,MP18-EN088,96404912,96404912
The Huge Revolution is Over,1,Common,1st Edition,Storm of the Abyss,SR03-EN038,99188141,99188141
Threatening Roar,1,Common,1st Edition,Storm of the Abyss,BP02-EN184,36361633,36361633
Urgent Tuning,1,Common,1st Edition,Storm of the Abyss,CSOC-EN065,94634433,94634433
Widespread Ruin,1,Common,1st Edition,Storm of the Abyss,CP03-EN011,77754944,77754944
Windstorm of Etaqua,1,Common,1st Edition,Storm of the Abyss,BP02-EN177,59744639,59744639
Brohunder,1,Rare,1st Edition,Storm of the Abyss,DUSA-EN012,27217742,27217742
Cyber Dragon,1,Rare,1st Edition,Storm of the Abyss,YS15-ENY04,70095154,70095154
D.D. Warrior Lady,1,Rare,1st Edition,Storm of the Abyss,BP02-EN021,7572887,7572887
Fishborg Launcher,1,Rare,1st Edition,Storm of the Abyss,ABYR-EN096,66853752,66853752
Hibernation Dragon,1,Rare,1st Edition,Storm of the Abyss,BLC1-EN113,69109764,69109764
Hieratic Dragon of Asar,1,Rare,1st Edition,Storm of the Abyss,GAOV-EN024,30794966,30794966
Mermaid Shark,1,Rare,1st Edition,Storm of the Abyss,PRIO-EN005,87047161,87047161
Mother Grizzly,1,Rare,1st Edition,Storm of the Abyss,CP04-EN013,57839750,57839750
Piwraithe the Ghost Pirate,1,Rare,1st Edition,Storm of the Abyss,ETCO-EN000,83682209,83682209
Reptilianne Coatl,1,Rare,1st Edition,Storm of the Abyss,BODE-EN020,89594399,89594399
Reptilianne Gardna,1,Rare,1st Edition,Storm of the Abyss,ABPF-EN016,43002864,43002864
Reptilianne Viper,1,Rare,1st Edition,Storm of the Abyss,SOVR-EN023,42303365,42303365
Salvage Warrior,1,Rare,1st Edition,Storm of the Abyss,EXVC-EN003,41705642,41705642
Shining Angel,1,Rare,1st Edition,Storm of the Abyss,SDCR-EN018,95956346,95956346
Snowman Eater,1,Rare,1st Edition,Storm of the Abyss,BP01-EN064,91133740,91133740
T.G. Drill Fish,1,Rare,1st Edition,Storm of the Abyss,BLC1-EN089,30348744,30348744
Thunder Dragonmatrix,1,Rare,1st Edition,Storm of the Abyss,MP19-EN166,20318029,20318029
Wattcobra,1,Rare,1st Edition,Storm of the Abyss,PHSW-EN028,88205593,88205593
Worm Warlord,1,Rare,1st Edition,Storm of the Abyss,DT03-EN081,35638627,35638627
Alexandrite Dragon,1,Rare,1st Edition,Storm of the Abyss,YS15-ENY01,43096270,43096270
Wattaildragon,1,Rare,1st Edition,Storm of the Abyss,GAOV-EN001,87151205,87151205
Dark Factory of Mass Production,1,Rare,1st Edition,Storm of the Abyss,STAX-EN028,90928333,90928333
Lightning Vortex,1,Rare,1st Edition,Storm of the Abyss,DR3-EN160,69162969,69162969
Solidarity,1,Rare,1st Edition,Storm of the Abyss,ANPR-EN054,86780027,86780027
Surface,1,Rare,1st Edition,Storm of the Abyss,GENF-EN049,33057951,33057951
Tri-Wight,1,Rare,1st Edition,Storm of the Abyss,OP15-EN018,96383838,96383838
First-Aid Squad,1,Rare,1st Edition,Storm of the Abyss,MP16-EN161,33622465,33622465
Jar of Greed,1,Rare,1st Edition,Storm of the Abyss,DB1-EN242,83968380,83968380
Raigeki Break,1,Rare,1st Edition,Storm of the Abyss,DR1-EN044,4178474,4178474
Navy Dragon Mech,1,Rare,1st Edition,Storm of the Abyss,DIFO-EN082,80040886,80040886
Batteryman Fuel Cell,1,Super Rare,1st Edition,Storm of the Abyss,TSHD-EN035,74730899,74730899
Black Mamba,1,Super Rare,1st Edition,Storm of the Abyss,BLMR-EN019,86469231,86469231
Carboneddon,1,Super Rare,1st Edition,Storm of the Abyss,DRLG-EN022,15981690,15981690
Fishborg Harpooner,1,Super Rare,1st Edition,Storm of the Abyss,MP25-EN350,57420265,57420265
"Flogos, the Ogdoadic Boundless",1,Super Rare,1st Edition,Storm of the Abyss,ANGU-EN003,9400127,9400127
Hieratic Dragon of Sutekh,1,Super Rare,1st Edition,Storm of the Abyss,GAOV-EN025,66789970,66789970
Hyper-Ancient Shark Megalodon,1,Super Rare,1st Edition,Storm of the Abyss,BP02-EN121,10532969,10532969
Lamia,1,Super Rare,1st Edition,Storm of the Abyss,BLMR-EN021,84900597,84900597
Right-Hand Shark,1,Super Rare,1st Edition,Storm of the Abyss,BROL-EN048,11845050,11845050
Wattuna,1,Super Rare,1st Edition,Storm of the Abyss,AGOV-EN015,10113611,10113611
Guardragon Justicia,1,Super Rare,1st Edition,Storm of the Abyss,MP20-EN008,11012154,11012154
Dragon Shrine,1,Super Rare,1st Edition,Storm of the Abyss,DPRP-EN029,41620959,41620959
Enemy Controller,1,Super Rare,1st Edition,Storm of the Abyss,RA02-EN051,98045062,98045062
Forbidden Chalice,1,Super Rare,1st Edition,Storm of the Abyss,BP02-EN155,25789292,25789292
Gold Sarcophagus,1,Super Rare,1st Edition,Storm of the Abyss,RA02-EN052,75500286,75500286
Mystical Space Typhoon,1,Super Rare,1st Edition,Storm of the Abyss,YS15-END13,5318639,5318639
Soul Exchange,1,Super Rare,1st Edition,Storm of the Abyss,KC01-EN042,68005187,68005187
Unexpected Dai,1,Super Rare,1st Edition,Storm of the Abyss,CROS-EN065,911883,911883
Compulsory Evacuation Device,1,Super Rare,1st Edition,Storm of the Abyss,RA01-EN069,94192409,94192409
Fish Depth Charge,1,Super Rare,1st Edition,Storm of the Abyss,DL14-EN018,58873391,58873391
Needle Ceiling,1,Super Rare,1st Edition,Storm of the Abyss,STAX-EN026,38411870,38411870
Offering to the Snake Deity,1,Super Rare,1st Edition,Storm of the Abyss,ANGU-EN060,93217231,93217231
Phoenix Wing Wind Blast,1,Super Rare,1st Edition,Storm of the Abyss,CP06-EN004,63356631,63356631
Torrential Tribute,1,Super Rare,1st Edition,Storm of the Abyss,MP24-EN010,53582587,53582587
Ascension Sky Dragon,1,Super Rare,1st Edition,Storm of the Abyss,LEHD-ENB34,37910722,37910722
"Brionac, the Magical Ice Dragon",1,Super Rare,1st Edition,Storm of the Abyss,BLTR-EN004,65892310,65892310
Toxic Boxfish,1,Super Rare,1st Edition,Storm of the Abyss,ALIN-EN085,48882106,48882106
Dark Alligator,1,Ultra Rare,1st Edition,Storm of the Abyss,GFP2-EN033,34479658,34479658
Dragard,1,Ultra Rare,1st Edition,Storm of the Abyss,SHSP-EN092,65737274,65737274
Guardragon Garmides,1,Ultra Rare,1st Edition,Storm of the Abyss,MP20-EN009,43411769,43411769
Mobius the Frost Monarch,1,Ultra Rare,1st Edition,Storm of the Abyss,STAS-EN029,4929256,4929256
Wattdragonfly,1,Ultra Rare,1st Edition,Storm of the Abyss,STBL-EN028,97885363,97885363
Zaborg the Thunder Monarch,1,Ultra Rare,1st Edition,Storm of the Abyss,AST-023,51945556,51945556
Moray of Avarice,1,Ultra Rare,1st Edition,Storm of the Abyss,POTE-EN084,73244186,73244186
Recycling Batteries,1,Ultra Rare,1st Edition,Storm of the Abyss,AP02-EN021,99995595,99995595
Salvage,1,Ultra Rare,1st Edition,Storm of the Abyss,DR2-EN097,96947648,96947648
Book of Moon,1,Ultra Rare,1st Edition,Storm of the Abyss,STAX-EN025,14087893,14087893
Dimensional Prison,1,Ultra Rare,1st Edition,Storm of the Abyss,SDCR-EN033,70342110,70342110
Ib the World Chalice Justiciar,1,Ultra Rare,1st Edition,Storm of the Abyss,BLMM-EN089,94677445,94677445
Lightstorm Dragon,1,Ultra Rare,1st Edition,Storm of the Abyss,SUDA-EN043,10515412,10515412
"Gungnir, Dragon of the Ice Barrier",1,Ultra Rare,1st Edition,Storm of the Abyss,DT03-EN040,65749035,65749035
Beautunaful Princess,1,Secret Rare,1st Edition,Storm of the Abyss,MAMA-EN052,6625096,6625096
Dragolithia Kunzite,1,Secret Rare,1st Edition,Storm of the Abyss,ALIN-EN100,48705086,48705086
Evil Dragon Ananta,1,Secret Rare,1st Edition,Storm of the Abyss,ANGU-EN042,8400623,8400623
